Kecamatan,Desa,Pos Pengungsi,total_pengungsi,jumlah_kk,laki_laki,perempuan,balita_bawah_1th,balita_1_5th,anak_6_12th,anak_laki,anak_perempuan,remaja,remaja_laki,remaja_perempuan,dewasa,dewasa_laki,dewasa_perempuan,lansia,lansia_laki,lansia_perempuan,ibu_hamil,ibu_menyusui,disabilitas,rasio_perempuan,rasio_anak,rasio_lansia,rasio_ibu_hamil_menyusui,rasio_disabilitas,rata_anggota_kk
Cugenang,Cibeureum,RT 2,202,95,90,112,8,30,55,20,35,35,10,15,154,76,78,9,3,6,3,12,0,0.5545,0.4604,0.0446,0.0743,0.0,2.13
Cugenang,Cibulakan,babalan asri,200,51,70,130,6,20,10,7,3,7,7,4,135,75,60,12,4,8,1,8,0,0.65,0.18,0.06,0.045,0.0,3.92
Cugenang,Cibulakan,dadap,156,47,175,182,12,12,20,8,12,7,3,4,111,60,51,2,3,3,3,15,12,1.1667,0.2821,0.0128,0.1154,0.0769,3.32
Cugenang,Cibulakan,posko babakanimangan,300,170,140,160,5,12,20,3,13,8,5,3,272,110,162,11,5,6,0,5,1,0.5333,0.1233,0.0367,0.0167,0.0033,1.76
Cugenang,Cijedil,barpin 02,70,20,30,40,5,2,9,4,5,11,6,5,56,15,41,10,4,6,0,1,1,0.5714,0.2286,0.1429,0.0143,0.0143,3.5
Cugenang,Cijedil,Cijedil d ratna kafe resto,425,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.97
Cugenang,Cijedil,Cijedil kopasus,1400,500,700,800,80,150,0,250,0,0,0,0,0,0,0,0,3,0,5,0,1,0.5714,0.1643,0.0,0.0036,0.0007,2.8
Cugenang,Cijedil,Gunung lanjung 2 RW 07,1701,837,0,0,0,140,0,0,0,0,0,0,0,0,0,72,0,0,4,0,0,0.0,0.0823,0.0423,0.0024,0.0,2.03
Cugenang,Cijedil,kp banjarpinang rt 2,90,20,40,50,3,8,13,5,8,8,4,3,50,20,30,8,5,3,0,6,0,0.5556,0.2667,0.0889,0.0667,0.0,4.5
Cugenang,Cijedil,Pamengpeuk,2500,500,0,0,15,60,0,0,0,0,0,0,0,0,0,60,0,0,2,0,0,0.0,0.03,0.024,0.0008,0.0,5.0
